handle,name,city,tier,google_rating,ig_score,followers,card_path,dm_soft,dm_icebreaker,dm_followup
mijo_restaurant,"miJo 🍱🥡  Stargarder Str. 24, 10437",Berlin,T2-UngenutztPotenzial,5,56,784,data/cards/mijo_restaurant.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und miJo 🍱🥡  Stargarder Str. 24, 10437 war dabei.

Euer Instagram Score liegt bei 56/100. Das ist über dem Ø Berlin Restaurant (51.1/100).

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und miJo 🍱🥡  Stargarder Str. 24, 10437 war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 56/100 (5 Punkte über dem Ø Berlin Restaurant).

Größter Hebel den wir gesehen haben: Bio-Link fehlt.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
sixtarestaurant,"Restaurant Sixta | Foodspot",Wien,T2-UngenutztPotenzial,4.9,53,602,data/cards/sixtarestaurant.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Restaurant Sixta | Foodspot war dabei.

Euer Instagram Score liegt bei 53/100. Der Ø Wien Restaurant liegt bei 58.3/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Wien analysiert und Restaurant Sixta | Foodspot war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 53/100 (5 Punkte Potenzial bis zum Ø Wien Restaurant).

Größter Hebel den wir gesehen haben: kaum Reels (17% eurer Posts).

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
boccafelice_berlin,"🇮🇹 Ristorante Bocca Felice",Berlin,T2-UngenutztPotenzial,4.9,56,11331,data/cards/boccafelice_berlin.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und 🇮🇹 Ristorante Bocca Felice war dabei.

Euer Instagram Score liegt bei 56/100. Das ist über dem Ø Berlin Restaurant (51.1/100).

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und 🇮🇹 Ristorante Bocca Felice war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 56/100 (5 Punkte über dem Ø Berlin Restaurant).

Größter Hebel den wir gesehen haben: Engagement-Potenzial.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
pizzanostra_berlin,"Pizza Nostra Berlin",Berlin,T2-UngenutztPotenzial,4.8,45,3375,data/cards/pizzanostra_berlin.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Pizza Nostra Berlin war dabei.

Euer Instagram Score liegt bei 45/100. Der Ø Berlin Fast Food & Imbiss liegt bei 66.7/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und Pizza Nostra Berlin war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 45/100 (22 Punkte Potenzial bis zum Ø Berlin Fast Food & Imbiss).

Größter Hebel den wir gesehen haben: kaum Reels (17% eurer Posts).

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
pizza.storia.berlin,"Storia",Berlin,T2-UngenutztPotenzial,4.8,48,1620,data/cards/pizza.storia.berlin.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Storia war dabei.

Euer Instagram Score liegt bei 48/100. Der Ø Berlin Fast Food & Imbiss liegt bei 66.7/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und Storia war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 48/100 (19 Punkte Potenzial bis zum Ø Berlin Fast Food & Imbiss).

Größter Hebel den wir gesehen haben: kaum Reels (17% eurer Posts).

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
oliveto.berlin,"Oliveto 🇮🇹",Berlin,T3-Mittelfeld,5,64,3276,data/cards/oliveto.berlin.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Oliveto 🇮🇹 war dabei.

Euer Instagram Score liegt bei 64/100. Das ist über dem Ø Berlin Restaurant (51.1/100).

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und Oliveto 🇮🇹 war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 64/100 (13 Punkte über dem Ø Berlin Restaurant).

Größter Hebel den wir gesehen haben: Posting-Frequenz: 0.1x/Woche.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
pizzeriagiulio_ffm,"Pizzeria Giulio",Frankfurt am Main,T3-Mittelfeld,4.9,63,19512,data/cards/pizzeriagiulio_ffm.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Pizzeria Giulio war dabei.

Euer Instagram Score liegt bei 63/100. Das ist über dem Ø Frankfurt am Main Restaurant (53.7/100).

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Frankfurt am Main analysiert und Pizzeria Giulio war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 63/100 (9 Punkte über dem Ø Frankfurt am Main Restaurant).

Größter Hebel den wir gesehen haben: Posting-Frequenz: 0.2x/Woche.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
umi.berlin,"Umi x Gendai No Kaishaku",Berlin,T3-Mittelfeld,4.9,63,4984,data/cards/umi.berlin.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Umi x Gendai No Kaishaku war dabei.

Euer Instagram Score liegt bei 63/100. Das ist über dem Ø Berlin Restaurant (51.1/100).

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und Umi x Gendai No Kaishaku war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 63/100 (12 Punkte über dem Ø Berlin Restaurant).

Größter Hebel den wir gesehen haben: Posting-Frequenz: 0.4x/Woche.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
pizza_berlino,"Pizza Berlino 🇮🇹",Berlin,T3-Mittelfeld,4.9,64,1587,data/cards/pizza_berlino.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Pizza Berlino 🇮🇹 war dabei.

Euer Instagram Score liegt bei 64/100. Der Ø Berlin Fast Food & Imbiss liegt bei 66.7/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und Pizza Berlino 🇮🇹 war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 64/100 (3 Punkte Potenzial bis zum Ø Berlin Fast Food & Imbiss).

Größter Hebel den wir gesehen haben: Engagement-Potenzial.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
terasdonerkebab,"Teras Döner Kebap",Berlin,T3-Mittelfeld,4.8,63,1264,data/cards/terasdonerkebab.png,"Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Teras Döner Kebap war dabei.

Euer Instagram Score liegt bei 63/100. Der Ø Berlin Fast Food & Imbiss liegt bei 66.7/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team","Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und Teras Döner Kebap war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 63/100 (4 Punkte Potenzial bis zum Ø Berlin Fast Food & Imbiss).

Größter Hebel den wir gesehen haben: Posting-Frequenz: 0.3x/Woche.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?"
