handle,name,city,ig_score,google_rating,dm_icebreaker,dm_followup,dm_soft,card_path
@chicagomeatpackers_frankfurt,Chicago Meatpackers Frankfurt,Frankfurt am Main,56,4.1,"Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Frankfurt am Main analysiert und Chicago Meatpackers Frankfurt war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 56/100 (2 Punkte über dem Ø Frankfurt am Main Restaurant).

Größter Hebel den wir gesehen haben: kaum Reels (0% eurer Posts).

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?","Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Chicago Meatpackers Frankfurt war dabei.

Euer Instagram Score liegt bei 56/100. Das ist über dem Ø Frankfurt am Main Restaurant (53.7/100).

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team",data/cards/chicagomeatpackers_frankfurt.png
@losteria.de,L'Osteria Deutschland,Frankfurt am Main,78,4.2,"Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Frankfurt am Main analysiert und L'Osteria Deutschland war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 78/100 (24 Punkte über dem Ø Frankfurt am Main Restaurant).

Größter Hebel den wir gesehen haben: Engagement-Potenzial.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?","Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und L'Osteria Deutschland war dabei.

Euer Instagram Score liegt bei 78/100. Das ist über dem Ø Frankfurt am Main Restaurant (53.7/100).

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team",data/cards/losteria.de.png
@cafeamneuensee,Café am Neuen See,Berlin,56,4.3,"Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und Café am Neuen See war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 56/100 (9 Punkte über dem Ø Berlin Café & Kaffee).

Größter Hebel den wir gesehen haben: Posting-Frequenz: 1.2x/Woche.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?","Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Café am Neuen See war dabei.

Euer Instagram Score liegt bei 56/100. Das ist über dem Ø Berlin Café & Kaffee (47.4/100).

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team",data/cards/cafeamneuensee.png
@restaurantmainnizza,Main Nizza Gastronomie,Frankfurt am Main,63,4.2,"Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Frankfurt am Main analysiert und Main Nizza Gastronomie war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 63/100 (9 Punkte über dem Ø Frankfurt am Main Restaurant).

Größter Hebel den wir gesehen haben: Engagement-Potenzial.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?","Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Main Nizza Gastronomie war dabei.

Euer Instagram Score liegt bei 63/100. Das ist über dem Ø Frankfurt am Main Restaurant (53.7/100).

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team",data/cards/restaurantmainnizza.png
@mainkaicafe,MAINKAI CAFE -BEST BREAKFAST IN FRANKFURT,Frankfurt am Main,48,4.6,"Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Frankfurt am Main analysiert und MAINKAI CAFE -BEST BREAKFAST IN FRANKFURT war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 48/100 (11 Punkte Potenzial bis zum Ø Frankfurt am Main Café & Kaffee).

Größter Hebel den wir gesehen haben: kaum Reels (17% eurer Posts).

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?","Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und MAINKAI CAFE -BEST BREAKFAST IN FRANKFURT war dabei.

Euer Instagram Score liegt bei 48/100. Der Ø Frankfurt am Main Café & Kaffee liegt bei 58.7/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team",data/cards/mainkaicafe.png
@mioberlinonline,"Restaurant, Mio",Berlin,56,4.3,"Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und Restaurant, Mio war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 56/100 (5 Punkte über dem Ø Berlin Restaurant).

Größter Hebel den wir gesehen haben: Posting-Frequenz: 0.3x/Woche.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?","Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Restaurant, Mio war dabei.

Euer Instagram Score liegt bei 56/100. Das ist über dem Ø Berlin Restaurant (51.1/100).

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team",data/cards/mioberlinonline.png
@cafebarcelonafrankfurt,Cafe & Bar Celona Frankfurt,Frankfurt am Main,64,4.1,"Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Frankfurt am Main analysiert und Cafe & Bar Celona Frankfurt war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 64/100 (5 Punkte über dem Ø Frankfurt am Main Café & Kaffee).

Größter Hebel den wir gesehen haben: Engagement-Potenzial.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?","Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Cafe & Bar Celona Frankfurt war dabei.

Euer Instagram Score liegt bei 64/100. Das ist über dem Ø Frankfurt am Main Café & Kaffee (58.7/100).

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team",data/cards/cafebarcelonafrankfurt.png
@father.carpenter,Father Carpenter,Berlin,41,4.4,"Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und Father Carpenter war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 41/100 (10 Punkte Potenzial bis zum Ø Berlin Restaurant).

Größter Hebel den wir gesehen haben: kaum Reels (0% eurer Posts).

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?","Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Father Carpenter war dabei.

Euer Instagram Score liegt bei 41/100. Der Ø Berlin Restaurant liegt bei 51.1/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team",data/cards/father.carpenter.png
@100gramm.bar,100 Gramm Bar & Lounge | Berlin,Berlin,71,4.8,"Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und 100 Gramm Bar & Lounge | Berlin war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 71/100 (12 Punkte über dem Ø Berlin Bar & Lounge).

Größter Hebel den wir gesehen haben: Engagement-Potenzial.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?","Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und 100 Gramm Bar & Lounge | Berlin war dabei.

Euer Instagram Score liegt bei 71/100. Das ist über dem Ø Berlin Bar & Lounge (58.7/100).

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team",data/cards/100gramm.bar.png
@carambar_berlin,Carambar Alexanderplatz,Berlin,56,4.6,"Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und Carambar Alexanderplatz war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 56/100 (3 Punkte Potenzial bis zum Ø Berlin Bar & Lounge).

Größter Hebel den wir gesehen haben: Posting-Frequenz: 0.6x/Woche.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?","Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Carambar Alexanderplatz war dabei.

Euer Instagram Score liegt bei 56/100. Der Ø Berlin Bar & Lounge liegt bei 58.7/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team",data/cards/carambar_berlin.png
@imherzenafrikasfrankfurt,Im Herzen Afrikas Frankfurt,Frankfurt am Main,49,4.7,"Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Frankfurt am Main analysiert und Im Herzen Afrikas Frankfurt war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 49/100 (5 Punkte Potenzial bis zum Ø Frankfurt am Main Restaurant).

Größter Hebel den wir gesehen haben: kaum Reels (8% eurer Posts).

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?","Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Im Herzen Afrikas Frankfurt war dabei.

Euer Instagram Score liegt bei 49/100. Der Ø Frankfurt am Main Restaurant liegt bei 53.7/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team",data/cards/imherzenafrikasfrankfurt.png
@bergerstreetfood,Streetfood_Boy,Frankfurt am Main,49,4.5,"Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Frankfurt am Main analysiert und Streetfood_Boy war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 49/100 (6 Punkte Potenzial bis zum Ø Frankfurt am Main Fast Food & Imbiss).

Größter Hebel den wir gesehen haben: kaum Reels (8% eurer Posts).

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?","Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Streetfood_Boy war dabei.

Euer Instagram Score liegt bei 49/100. Der Ø Frankfurt am Main Fast Food & Imbiss liegt bei 54.6/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team",data/cards/bergerstreetfood.png
@kiwis_frankfurt,PARTY | FOOD | DRINKS | EVENTS,Frankfurt am Main,78,4.8,"Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Frankfurt am Main analysiert und PARTY | FOOD | DRINKS | EVENTS war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 78/100 (28 Punkte über dem Ø Frankfurt am Main Bar & Lounge).

Größter Hebel den wir gesehen haben: Engagement-Potenzial.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?","Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und PARTY | FOOD | DRINKS | EVENTS war dabei.

Euer Instagram Score liegt bei 78/100. Das ist über dem Ø Frankfurt am Main Bar & Lounge (50/100).

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team",data/cards/kiwis_frankfurt.png
@amrit_berlin,AMRIT Restaurants Berlin,Berlin,71,4.7,"Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Berlin analysiert und AMRIT Restaurants Berlin war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 71/100 (20 Punkte über dem Ø Berlin Restaurant).

Größter Hebel den wir gesehen haben: Posting-Frequenz: 0.2x/Woche.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?","Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und AMRIT Restaurants Berlin war dabei.

Euer Instagram Score liegt bei 71/100. Das ist über dem Ø Berlin Restaurant (51.1/100).

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team",data/cards/amrit_berlin.png
@atschel.sachsenhausen,Atschel,Frankfurt am Main,71,4.6,"Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Frankfurt am Main analysiert und Atschel war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 71/100 (17 Punkte über dem Ø Frankfurt am Main Restaurant).

Größter Hebel den wir gesehen haben: Posting-Frequenz: 0.1x/Woche.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?","Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Atschel war dabei.

Euer Instagram Score liegt bei 71/100. Das ist über dem Ø Frankfurt am Main Restaurant (53.7/100).

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team",data/cards/atschel.sachsenhausen.png
@paulaner_am_dom,Wirtshaus Paulaner am Dom FFM,Frankfurt am Main,46,4.3,"Hey 👋

Kurze Frage: Wer kümmert sich bei euch um Instagram?

(Wir haben gerade 100 Restaurants in Frankfurt am Main analysiert und Wirtshaus Paulaner am Dom FFM war dabei — wollten kurz fragen bevor wir die Auswertung schicken)","Super, danke!

Hier eure Kurzauswertung: Digitale Sichtbarkeit 46/100 (8 Punkte Potenzial bis zum Ø Frankfurt am Main Restaurant).

Größter Hebel den wir gesehen haben: Posting-Frequenz: 0.4x/Woche.

Die vollständige Analyse (mit 3 konkreten Maßnahmen) schicke ich euch gern — ich hänge sie als Bild an.

Soll ich das kurz machen?","Hey 👋

Wir haben gerade 100 DACH-Restaurant-Instagram-Profile analysiert und Wirtshaus Paulaner am Dom FFM war dabei.

Euer Instagram Score liegt bei 46/100. Der Ø Frankfurt am Main Restaurant liegt bei 53.7/100.

Falls ihr wollt, schicken wir euch eine kurze kostenlose Analyse mit den 3 größten Hebeln für mehr Sichtbarkeit.

Interesse?

– FlowingPost Team",data/cards/paulaner_am_dom.png
